Mouse_ID	Batch	Cohort	Line	Sex	Genotype	Sample_Type	Housing_ID	Genotype_mark	Sex_Mark	C2	C3	C3-DC (C4-OH)	C4	C14:1	C16-OH	C18:1	Ala	Arg	Asn	Asp	Cit	Gln	Glu	Gly	His	Ile	Leu	Lys	Met	Orn	Phe	Pro	Ser	Thr	Trp	Tyr	Val	Ac-Orn	ADMA	alpha-AAA	Carnosine	Sarcosine	SDMA	Serotonin	Spermidine	Spermine	t4-OH-Pro	lysoPC a C14:0	lysoPC a C16:0	lysoPC a C16:1	lysoPC a C17:0	lysoPC a C18:0	lysoPC a C18:1	lysoPC a C18:2	lysoPC a C20:3	lysoPC a C20:4	lysoPC a C24:0	lysoPC a C26:0	lysoPC a C26:1	lysoPC a C28:0	lysoPC a C28:1	PC aa C24:0	PC aa C26:0	PC aa C28:1	PC aa C30:0	PC aa C32:0	PC aa C32:1	PC aa C32:2	PC aa C32:3	PC aa C34:1	PC aa C34:2	PC aa C34:3	PC aa C34:4	PC aa C36:0	PC aa C36:1	PC aa C36:2	PC aa C36:3	PC aa C36:4	PC aa C36:5	PC aa C36:6	PC aa C38:0	PC aa C38:3	PC aa C38:4	PC aa C38:5	PC aa C38:6	PC aa C40:2	PC aa C40:3	PC aa C40:4	PC aa C40:5	PC aa C40:6	PC aa C42:0	PC aa C42:1	PC aa C42:2	PC aa C42:4	PC aa C42:5	PC aa C42:6	PC ae C30:0	PC ae C30:1	PC ae C30:2	PC ae C32:1	PC ae C32:2	PC ae C34:0	PC ae C34:1	PC ae C34:2	PC ae C34:3	PC ae C36:0	PC ae C36:1	PC ae C36:2	PC ae C36:3	PC ae C36:4	PC ae C36:5	PC ae C38:0	PC ae C38:1	PC ae C38:2	PC ae C38:3	PC ae C38:4	PC ae C38:5	PC ae C38:6	PC ae C40:1	PC ae C40:2	PC ae C40:3	PC ae C40:4	PC ae C40:5	PC ae C40:6	PC ae C42:0	PC ae C42:1	PC ae C42:2	PC ae C42:3	PC ae C42:4	PC ae C44:3	PC ae C44:4	PC ae C44:5	PC ae C44:6	SM (OH) C14:1	SM (OH) C16:1	SM (OH) C22:1	SM (OH) C22:2	SM (OH) C24:1	SM C16:0	SM C16:1	SM C18:0	SM C18:1	SM C20:2	SM C24:0	SM C24:1	SM C26:1
21	298	Batch1	18mo	5xfAD	Male	5xfAD	FECAL	111775	5XFAD_hemizygous	Male	14.6	1.2	0.33400000000000002	2.4300000000000002	NA	1.7999999999999999E-2	6.4000000000000001E-2	533	177	44.8	12	87.2	1000	48	371	92.9	105	192	388	87.1	65.3	84.3	135	148	182	62.5	102	254	5.01	0.76600000000000001	12.5	0.79800000000000004	24.5	0.20599999999999999	0.65300000000000002	0.90100000000000002	NA	21	5.31	564	12.2	11	321	82.2	193	10.5	23	1.31	0.72599999999999998	0.19800000000000001	0.75800000000000001	0.372	0.21	1.18	0.52200000000000002	0.91200000000000003	6.7	1.25	0.92800000000000005	0.254	72.2	123	3.21	0.19500000000000001	1.74	22.5	111	54.6	46.5	4.12	0.21299999999999999	1.95	24.8	33.799999999999997	12.4	75	0.44400000000000001	0.70099999999999996	1.92	2.5	29	0.192	0.17399999999999999	0.38300000000000001	0.27600000000000002	0.27700000000000002	1.07	0.27200000000000002	0.14399999999999999	0.434	0.44900000000000001	0.36	0.378	2.0099999999999998	2.97	0.997	0.45500000000000002	5.19	7.07	1.82	2.2799999999999998	1.44	1.32	2.48	6.11	3.35	1.93	2.11	1.81	1.98	0.83599999999999997	1.36	1.1399999999999999	1.71	2.2000000000000002	0.79400000000000004	0.44400000000000001	0.38	1.01	0.436	0.14299999999999999	0.14799999999999999	0.23499999999999999	0.23300000000000001	1.44	0.78400000000000003	2.5299999999999998	5.0999999999999996	2.87	28.5	4.16	2.99	1.59	6.44	9.02	19.600000000000001	0.313
22	301	Batch1	18mo	5xfAD	Male	WT	FECAL	111775	5XFAD_noncarrier	Male	14.9	0.92	0.246	1.9	4.1000000000000002E-2	2.1000000000000001E-2	0.128	373	134	36	8.61	102	709	54.7	271	70.099999999999994	81.900000000000006	118	317	69.099999999999994	55.2	72.3	76.099999999999994	109	186	58.5	73.3	182	6.34	0.89600000000000002	16.3	0.85199999999999998	25.8	0.187	0.46400000000000002	0.753	NA	13.9	5.48	667	14.7	11	332	114	246	15.9	30.4	1.79	1.1100000000000001	0.311	0.93899999999999995	0.621	0.253	1.23	0.63900000000000001	1.1599999999999999	9.4499999999999993	2.66	1.21	0.27900000000000003	121	135	4.97	0.27200000000000002	1.23	40.200000000000003	120	81.2	76.3	9.09	0.32200000000000001	2.41	35.200000000000003	50.9	22.8	111	0.57199999999999995	0.94	2.77	3.96	48.1	0.217	0.20899999999999999	0.434	0.36	0.39200000000000002	1.48	0.32900000000000001	0.20799999999999999	0.55900000000000005	0.626	0.434	0.53100000000000003	3.3	3.59	1.1000000000000001	0.59599999999999997	8.09	9.5399999999999991	2.44	3.16	1.74	2.0299999999999998	3.83	8.39	4.6100000000000003	2.67	3.05	2.39	2.4	1.28	1.98	1.5	2.2200000000000002	2.91	1.1499999999999999	0.56100000000000005	0.67500000000000004	1.56	0.64800000000000002	0.21199999999999999	0.23200000000000001	0.33900000000000002	0.28899999999999998	2.31	1.33	4.03	8.9700000000000006	4.07	35.9	5.71	5.92	2.5499999999999998	12.6	13.8	26.9	0.48899999999999999
23	302	Batch1	18mo	5xfAD	Female	WT	FECAL	111308	5XFAD_noncarrier	Female	14.2	1.1299999999999999	0.19	1.98	4.1000000000000002E-2	2.3E-2	0.121	321	120	32.5	9.7200000000000006	124	740	35.9	250	68.5	83.2	156	302	79.099999999999994	56.7	72.3	76.400000000000006	103	155	66.5	66.7	184	7.74	0.97699999999999998	10.8	0.96399999999999997	18.8	0.27700000000000002	0.68799999999999994	0.76	NA	14.5	6.36	545	9.68	13.2	323	96.8	203	10.199999999999999	23.6	1.1599999999999999	0.55500000000000005	0.17399999999999999	0.60699999999999998	0.29599999999999999	0.14000000000000001	0.68200000000000005	0.40899999999999997	0.83099999999999996	5.86	0.95499999999999996	0.97199999999999998	0.26800000000000002	61.1	138	2.06	0.14599999999999999	2.23	17.2	126	49.7	38.700000000000003	3.27	0.157	1.9	24.4	34	11.5	58.2	0.314	0.40899999999999997	1.34	2.14	30.4	0.16400000000000001	0.157	0.27500000000000002	0.2	0.22500000000000001	0.57899999999999996	0.20300000000000001	8.1000000000000003E-2	0.59199999999999997	0.44700000000000001	0.34300000000000003	0.36	2.09	2.83	0.85399999999999998	0.436	4.96	6.87	1.71	2.5499999999999998	1.45	1.01	1.86	5.86	3.71	2.2200000000000002	2.25	1.71	1.51	1.1299999999999999	1.35	1.08	1.49	2.38	0.59299999999999997	0.41599999999999998	0.41199999999999998	0.88500000000000001	0.40699999999999997	0.107	0.125	0.17899999999999999	0.193	2.31	1.08	4.83	5.89	2.73	39.9	4.29	4.28	2	5.0999999999999996	10.5	27.7	0.27100000000000002
24	304	Batch1	18mo	5xfAD	Female	WT	FECAL	111308	5XFAD_noncarrier	Female	27.1	1.84	0.32	3.73	3.4000000000000002E-2	3.7999999999999999E-2	0.157	305	111	15.3	30.3	107	833	34	208	59.5	106	163	293	50.5	56	85	62.6	82.4	118	66	70.599999999999994	215	6.68	1.07	12.2	0.84899999999999998	18.2	0.23400000000000001	0.29099999999999998	0.76100000000000001	NA	10.4	5.94	492	10.8	11.2	287	95.7	155	8.76	21.2	0.97099999999999997	0.42499999999999999	0.13500000000000001	0.31	0.24	9.5000000000000001E-2	NA	0.28499999999999998	0.61799999999999999	4.71	0.89600000000000002	0.67	0.19900000000000001	49.7	108	2.04	0.114	1.61	12.4	98	43.7	31.5	2.5	0.11700000000000001	1.36	20.6	31.5	11.4	50.6	0.23799999999999999	0.30499999999999999	1.18	1.8	24.8	0.122	0.121	0.20599999999999999	0.17	0.17199999999999999	NA	NA	4.7E-2	0.47399999999999998	0.30599999999999999	0.22500000000000001	0.252	1.62	1.87	0.54100000000000004	0.32200000000000001	3.44	4.49	1.24	2	0.98699999999999999	0.89900000000000002	1.17	3.73	2.91	1.83	1.82	1.32	1.46	0.84099999999999997	1.02	0.80500000000000005	1.19	1.82	0.55900000000000005	0.437	0.32600000000000001	0.82	NA	7.1999999999999995E-2	9.4E-2	0.16300000000000001	NA	1.85	0.80300000000000005	3.41	4.63	2.8	33.700000000000003	3.81	3.35	1.58	5.4	7.69	24.6	0.26
25	478	Batch1	12mo	5xfAD	Female	WT	FECAL	111367	5XFAD_noncarrier	Female	14	0.95599999999999996	0.255	2.38	1.7999999999999999E-2	NA	8.5999999999999993E-2	328	80.8	30.4	11.5	50.6	513	41.5	205	48.4	60.1	74.099999999999994	147	69.8	30.5	56	51.5	91.3	140	73.7	66.3	147	6.47	0.374	17.5	NA	18.100000000000001	0.13300000000000001	2.6	3.65	0.65400000000000003	10.4	2.35	267	6.14	6.15	132	51.9	144	6.73	21.8	1.1100000000000001	1.04	0.27100000000000002	1.04	0.498	0.313	1.68	0.80500000000000005	0.81899999999999995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.35299999999999998	0.19	0.67800000000000005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.3199999999999998	0.90400000000000003	3.17	4.8600000000000003	1.67	24.1	3.17	3.51	1.43	4.7699999999999996	6.96	15.4	0.28199999999999997
26	486	Batch1	12mo	5xfAD	Female	WT	FECAL	111367	5XFAD_noncarrier	Female	18.899999999999999	0.84499999999999997	0.186	1.81	3.7999999999999999E-2	3.4000000000000002E-2	0.14299999999999999	384	123	38	16.8	66.5	790	61.6	237	71.2	88.2	144	309	62.6	52.8	74.7	64.8	121	159	107	76.099999999999994	184	4.32	0.79100000000000004	17.8	0.95799999999999996	20.9	0.16900000000000001	4.46	2.9	0.92	12.5	6.91	591	13.1	12.6	314	96.6	203	9.9600000000000009	23.7	1.53	0.75600000000000001	0.22900000000000001	0.746	0.55400000000000005	0.2	0.71299999999999997	0.50900000000000001	1.04	7.88	1.32	1.1000000000000001	0.32800000000000001	75.7	145	2.8	0.187	2.93	21.2	132	53.5	43.7	4.96	0.20200000000000001	2.08	25	40.700000000000003	14.9	77	0.44	0.58799999999999997	1.7	2.71	36.1	0.22800000000000001	0.19700000000000001	0.36599999999999999	0.35299999999999998	0.35099999999999998	0.77800000000000002	0.317	9.8000000000000004E-2	0.79500000000000004	0.48499999999999999	0.41699999999999998	0.433	2.17	2.92	0.876	0.53600000000000003	7.61	6.94	1.7	2.41	1.72	1.34	3.36	5.93	4.33	2.31	2.31	1.91	1.56	1.01	1.83	1.27	2.16	2.89	0.64200000000000002	0.46	0.373	0.97099999999999997	0.55900000000000005	0.18	0.20300000000000001	0.22900000000000001	0.23300000000000001	2.58	1.1299999999999999	6.02	6.44	2.93	37.799999999999997	5.0999999999999996	5.33	2.34	7.06	12.2	27.4	0.44600000000000001
27	513	Batch1	18mo	5xfAD	Male	5xfAD	FECAL	111354	5XFAD_hemizygous	Male	25	0.77100000000000002	0.34399999999999997	0.96399999999999997	NA	NA	0.112	274	92.9	36.6	5.97	31	880	36.5	329	75.7	108	148	258	54.3	47.8	75.2	60.9	119	141	70.7	90.4	219	3.35	0.48199999999999998	12.3	NA	14.2	0.17699999999999999	0.61	0.59399999999999997	NA	11.3	3.77	419	8.83	8.48	238	55.2	163	8.51	15.3	1.34	0.84099999999999997	0.20899999999999999	0.81200000000000006	0.36599999999999999	0.23699999999999999	1.53	0.53200000000000003	0.91300000000000003	5.4	0.91100000000000003	0.84899999999999998	0.27400000000000002	62.7	98.4	2.63	0.16	2.09	17.8	85.4	37.799999999999997	33.299999999999997	3.22	0.17899999999999999	1.9	19.899999999999999	21.4	8.64	70	0.40600000000000003	0.71299999999999997	1.66	2.12	27.3	0.20499999999999999	0.221	0.35499999999999998	0.27800000000000002	0.316	1.49	0.35299999999999998	0.154	0.496	0.48799999999999999	0.42199999999999999	0.372	1.69	3.48	1.0900000000000001	0.46300000000000002	5.56	6.01	1.74	2.11	1.35	1.08	2.21	5.79	3.03	1.58	1.8	1.94	1.84	0.77700000000000002	1.33	0.93500000000000005	1.61	2.25	0.76800000000000002	0.35399999999999998	0.35899999999999999	0.94099999999999995	0.38200000000000001	0.186	0.153	0.24	0.22500000000000001	1.51	0.86099999999999999	3.47	4.72	2.6	23.7	4.59	2.44	1.34	5.16	10.8	17.600000000000001	0.28399999999999997
28	528	Batch1	12mo	5xfAD	Female	WT	FECAL	111353	5XFAD_noncarrier	Female	NA	NA	NA	NA	NA	NA	NA	604	192	61.8	44.6	73.2	833	45.9	296	81.5	128	200	620	162	101	95.4	144	161	273	143	128	305	6.2	0.76700000000000002	28.3	0.57099999999999995	32.200000000000003	0.122	6.2	2.2000000000000002	0.65	12.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	50.8	4.46	3.08	0.94799999999999995	148	212	6.07	0.9	4.91	60.8	157	78.099999999999994	52.3	6.31	1.25	4.49	48	38.1	15.4	54.2	1.78	1.92	4.21	3.5	24	1.22	1.7	1.52	0.84799999999999998	1.35	2.58	NA	NA	NA	6.12	1.87	5.94	32	17.3	2.99	1.47	48.8	30.5	14.3	8.89	3.53	1.68	14.1	18.600000000000001	14.8	8.91	9.25	2.9	5.49	7.86	10.1	5.13	4.08	3.81	0.90300000000000002	2.52	7.66	11.3	4.1500000000000004	1.83	2.27	4.2699999999999996	1.97	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
29	530	Batch1	12mo	5xfAD	Female	5xfAD	FECAL	111353	5XFAD_hemizygous	Female	19.399999999999999	1.56	0.17	1.71	1.7999999999999999E-2	NA	8.4000000000000005E-2	366	92	35.200000000000003	10.6	44.8	865	30.4	267	70.099999999999994	77.7	148	222	64.3	44.4	70.8	66.900000000000006	95	126	100	66.400000000000006	183	5.78	0.63600000000000001	13.6	NA	19.100000000000001	0.161	0.90500000000000003	0.76600000000000001	NA	16.5	4.26	430	6.86	9.36	266	60.3	171	7.2	19.5	0.90700000000000003	0.45500000000000002	0.15	0.50700000000000001	0.26100000000000001	0.60799999999999998	0.82	0.441	0.7	5.0199999999999996	0.66500000000000004	0.95899999999999996	0.28000000000000003	45.5	91.9	1.61	0.13600000000000001	1.73	14.2	82.6	37.299999999999997	30.5	2.84	0.112	1.37	18.7	29.6	9.27	43.7	0.253	0.311	1.27	1.7	22.8	0.152	0.161	0.248	0.17299999999999999	0.17599999999999999	0.58199999999999996	0.188	8.7999999999999995E-2	0.52500000000000002	0.45200000000000001	0.371	0.252	1.47	2.4700000000000002	0.80700000000000005	0.29499999999999998	3.57	5.0599999999999996	1.26	2.37	1.5	0.73699999999999999	1.66	4.1500000000000004	2.81	1.79	1.9	1.44	1.04	0.86699999999999999	1.28	0.83099999999999996	1.23	1.73	NA	0.27200000000000002	0.28299999999999997	0.72199999999999998	0.32900000000000001	9.6000000000000002E-2	0.11600000000000001	0.14699999999999999	0.19800000000000001	1.94	0.86399999999999999	3.92	3.94	1.77	29.4	3.71	3.67	1.59	3.3	7.93	20.6	0.224
30	531	Batch1	12mo	5xfAD	Female	5xfAD	FECAL	111353	5XFAD_hemizygous	Female	11.6	0.72099999999999997	8.6999999999999994E-2	0.86	NA	1.4E-2	6.8000000000000005E-2	425	139	48.9	16.100000000000001	47.6	819	45.4	263	66.599999999999994	80.099999999999994	144	344	119	75.5	72.5	101	123	205	106	79.2	198	3.74	0.29299999999999998	16.899999999999999	NA	22.4	0.12	2.73	1.1399999999999999	0.52900000000000003	15.4	3.02	373	6.15	8.77	244	63	208	7.21	26.6	1.33	1.1200000000000001	0.314	1.35	0.58899999999999997	0.38300000000000001	1.81	0.78800000000000003	0.8	5.54	0.66700000000000004	0.97	0.28299999999999997	32.9	99.2	1.77	0.16700000000000001	2.27	13.4	90.9	38.1	35.299999999999997	3.06	0.12	1.53	15.2	33.5	8.69	36	0.28799999999999998	0.33800000000000002	1.25	1.19	19	0.16600000000000001	0.17399999999999999	0.247	0.19800000000000001	0.185	0.54100000000000004	0.30399999999999999	0.223	0.57599999999999996	0.53600000000000003	0.39800000000000002	0.32700000000000001	1.3	2.2200000000000002	0.79	0.33300000000000002	3.9	5.41	1.1399999999999999	2.34	1.77	0.72899999999999998	1.99	4.3600000000000003	2.62	1.89	1.94	1.38	0.94	0.72099999999999997	1.1000000000000001	0.86399999999999999	1.1399999999999999	1.64	NA	0.30599999999999999	0.255	0.66200000000000003	NA	0.14499999999999999	0.13400000000000001	0.151	0.19600000000000001	2.2000000000000002	1.0900000000000001	3.42	4.33	1.87	25	3.53	3.62	1.63	4.0999999999999996	6.85	15.6	0.27400000000000002
